STATISTIC,Statistic Label,TLIST(A1),Year,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,9,"Fraud, deception and related offences ",Number,6182
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,10,Controlled drug offences ,Number,7543
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,11,Weapons and explosives offences ,Number,1137
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,12,Damage to property and to the environment  offences ,Number,7699
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,13,Public order and other social code offences ,Number,10341
RCD06C01,Recorded crime incidents,2021,2021,10,Dublin Metropolitan Region,15,"Offences against government, justice procedures and organisation of crime ",Number,6123
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,1,Homicide & related offences ,Number,12
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,2,Sexual offences ,Number,767
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,4408
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,4,Dangerous or negligent acts ,Number,2151
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,5,Kidnapping and related offences ,Number,30
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,6,"Robbery, extortion and hijacking offences ",Number,169
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,7,Burglary and related offences ,Number,1379
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,8,Theft and related offences ,Number,5178
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,9,"Fraud, deception and related offences ",Number,3463
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,10,Controlled drug offences ,Number,2896
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,11,Weapons and explosives offences ,Number,430
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,12,Damage to property and to the environment  offences ,Number,3450
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,13,Public order and other social code offences ,Number,5702
RCD06C01,Recorded crime incidents,2021,2021,20,North Western Region,15,"Offences against government, justice procedures and organisation of crime ",Number,1590
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,1,Homicide & related offences ,Number,14
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,2,Sexual offences ,Number,906
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,4594
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,4,Dangerous or negligent acts ,Number,2039
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,5,Kidnapping and related offences ,Number,39
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,6,"Robbery, extortion and hijacking offences ",Number,230
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,7,Burglary and related offences ,Number,2202
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,8,Theft and related offences ,Number,8368
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,9,"Fraud, deception and related offences ",Number,3965
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,10,Controlled drug offences ,Number,4628
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,11,Weapons and explosives offences ,Number,442
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,12,Damage to property and to the environment  offences ,Number,4009
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,13,Public order and other social code offences ,Number,5305
RCD06C01,Recorded crime incidents,2021,2021,30,Eastern Region,15,"Offences against government, justice procedures and organisation of crime ",Number,2431
RCD06C01,Recorded crime incidents,2021,2021,40,Southern Region,1,Homicide & related offences ,Number,13
RCD06C01,Recorded crime incidents,2021,2021,40,Southern Region,2,Sexual offences ,Number,791
